,C1,L1,P2,L2,1C1,1L1,1P2,1L2,2C1,2L1,2P2,2L2,3C1,3L1,3P2,3L2,MW,1MW,L12,1L12,2L12,3L12,L1M,L2M,GF,1GF,2GF
256,21726478.65,114173409.1,21726485.32,88966302.1,2143.992,11265.62,2143.929,8778.396,2.664000001,11.96300001,2.202000003,9.313999996,0.437000003,-0.200999975,-0.536999993,-0.169,-4.860048272,-0.131440521,25207107,2487.3,2.779999986,0.159999967,21726477.35,21726479.62,-2.269886363,0.016492117,0.026514251
257,21728624.73,114184686.9,21728631.25,88975089.99,2146.079,11277.799,2145.93,8787.889,2.087000005,12.17899999,2.000999998,9.493000001,-0.576999996,0.215999976,-0.201000005,0.179000005,-4.76057886,0.099469412,25209596.91,2489.91,2.610000014,-0.169999972,21728623.45,21728625.72,-2.268395726,0.001490638,-0.01500148
258,21730773.2,114195976.6,21730779.92,88983887.19,2148.476,11289.762,2148.672,8797.209,2.396999996,11.96300001,2.741999999,9.320000008,0.309999991,-0.215999976,0.741,-0.172999993,-5.02184147,-0.26126261,25212089.41,2492.5,2.589999974,-0.020000041,21730771.81,21730774.08,-2.276007477,-0.007611752,-0.009102389
259,21732923.87,114207278.4,21732930.63,88992693.76,2150.664,11301.754,2150.711,8806.561,2.187999997,11.99199998,2.039000005,9.351999983,-0.208999999,0.028999969,-0.702999994,0.031999975,-5.024246637,-0.002405167,25214584.64,2495.23,2.730000019,0.140000045,21732922.47,21732924.74,-2.269315485,0.006691992,0.014303744
260,21735076.34,114218592.3,21735083.49,89001509.77,2152.477,11313.895,2152.859,8816.012,1.813000005,12.141,2.147999994,9.45100002,-0.374999993,0.149000019,0.10899999,0.099000037,-4.632864505,0.391382132,25217082.53,2497.89,2.659999996,-0.070000023,21735075.43,21735077.7,-2.265414461,0.003901023,-0.002790969
261,21737232.12,114229918.3,21737238.73,89010335.2,2155.773,11325.992,2155.238,8825.434,3.295999996,12.097,2.379000004,9.421999991,1.482999992,-0.044,0.23100001,-0.029000029,-4.929182228,-0.296317723,25219583.1,2500.57,2.679999992,0.019999996,21737230.7,21737232.96,-2.259420212,0.005994249,0.002093226
262,21739390.01,114241256.3,21739396.1,89019170.05,2157.891,11338.073,2157.372,8834.85,2.118000004,12.08100002,2.134,9.415999994,-1.177999992,-0.015999988,-0.245000005,-0.005999997,-5.103689384,-0.174507156,25222086.25,2503.15,2.580000013,-0.099999979,21739388.25,21739390.52,-2.270362098,-0.010941885,-0.016936135
263,21741549.82,114252606.5,21741556.05,89028014.32,2159.812,11350.133,2159.949,8844.265,1.920999996,12.05999997,2.576999996,9.415000007,-0.197000008,-0.021000043,0.442999996,-0.000999987,-5.061156638,0.042532746,25224592.18,2505.93,2.780000001,0.199999988,21741548.12,21741550.38,-2.260181382,0.010180715,0.021122601
264,21743711.3,114263968.4,21743718.07,89036867.75,2161.477,11361.917,2162.023,8853.433,1.664999999,11.78400002,2.074000005,9.167999998,-0.255999997,-0.275999948,-0.502999991,-0.247000009,-4.619417261,0.441739377,25227100.65,2508.47,2.539999992,-0.24000001,21743710.22,21743712.48,-2.260530256,-0.000348873,-0.010529589
265,21745875.65,114275342.2,21745882.54,89045730.48,2164.351,11373.849,2164.461,8862.73,2.874000002,11.93199998,2.437999997,9.297000006,1.209000003,0.147999957,0.363999993,0.129000008,-4.694039762,-0.074622501,25229611.72,2511.07,2.599999994,0.060000002,21745874.58,21745876.85,-2.267539408,-0.007009152,-0.006660279
266,21748042.45,114286728,21748049.02,89054602.54,2166.805,11385.822,2166.488,8872.065,2.454000004,11.973,2.026999999,9.334999993,-0.419999998,0.041000023,-0.410999998,0.037999988,-4.717576429,-0.023536667,25232125.46,2513.74,2.670000002,0.070000008,21748041.22,21748043.49,-2.269505773,-0.001966365,0.005042788
267,21750211.71,114298125.8,21750218.14,89063483.92,2169.258,11397.78,2169.118,8881.379,2.452999994,11.958,2.630000003,9.313999996,-0.001000009,-0.015000001,0.603000004,-0.020999998,-5.006675567,-0.289099138,25234641.88,2516.42,2.680000007,0.010000005,21750210.15,21750212.42,-2.263987254,0.005518518,0.007484883
268,21752382.39,114309535.6,21752389.21,89072374.62,2170.68,11409.734,2171.07,8890.697,1.422000002,11.95400001,1.952,9.318000019,-1.030999992,-0.003999993,-0.678000003,0.004000023,-4.532575618,0.474099949,25237160.98,2519.1,2.679999992,-1.49E-08,21752381.37,21752383.62,-2.250983857,0.013003398,0.007484879
269,21754555.97,114320957.2,21754562.86,89081274.61,2173.578,11421.666,2173.648,8899.99,2.898000002,11.93199998,2.578000002,9.292999983,1.476,-0.02200003,0.626000002,-0.025000036,-4.750457507,-0.217881889,25239682.59,2521.61,2.51000002,-0.169999972,21754554.82,21754557.08,-2.261227999,-0.010244142,-0.02324754
270,21756732.58,114332390.9,21756738.48,89090183.92,2176.609,11433.622,2175.621,8909.308,3.030999999,11.956,1.972999997,9.318000004,0.132999998,0.024000019,-0.605000004,0.025000021,-5.16512455,-0.414667043,25242206.98,2524.39,2.779999986,0.269999966,21756730.58,21756732.83,-2.244957894,0.016270105,0.026514247
271,21758910.1,114343836.3,21758916.56,89099102.44,2177.524,11445.436,2178.075,8918.524,0.914999999,11.81400001,2.454,9.216000006,-2.116,-0.14199999,0.481000002,-0.101999998,-4.933191359,0.231933191,25244733.86,2526.88,2.489999995,-0.289999992,21758908.57,21758910.82,-2.251427874,-0.00646998,-0.022740085
272,21761090.49,114355293.6,21761096.94,89108030.19,2180.39,11457.294,2180.383,8927.749,2.865999997,11.858,2.308000002,9.224999994,1.950999998,0.043999985,-0.145999998,0.008999988,-5.071399152,-0.138207793,25247263.41,2529.55,2.670000002,0.180000007,21761088.82,21761091.07,-2.247463427,0.003964446,0.010434426
